genus,num_genomes,reference taxa level,taxon label used,nitrogen cycle metabolic process(GO:0071941),nitrogen fixation(GO:0009399),"anaerobic respiration, using ammonium as electron donor(GO:0019331)",denitrification pathway(GO:0019333),"aerobic respiration, using ammonia as electron donor(GO:0019409)",urea metabolic process(GO:0019627),nitrate assimilation(GO:0042128)
Candidatus Xiphinematobacter,33,manual,,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Carnobacterium,2,False,Carnobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caulobacter,5,False,Caulobacter,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Cavicella,54,family,Moraxellaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Cellulomonas,12,False,Cellulomonas,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Cellulophaga,4,False,Cellulophaga,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Cellvibrio,1,False,Cellvibrio,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cephaloticoccus,7,family,Opitutaceae,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Cereibacter,1,False,Cereibacter,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Cetobacterium,1,False,Cetobacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chamaesiphon PCC-7430,4,family,Leptolyngbyaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Chiayiivirga,19,family,Rhodanobacteraceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Chitinibacter,3,False,Chitinibacter,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Chitinimonas,1,False,Chitinimonas,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Chitinophaga,9,False,Chitinophaga,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Chlorobium,2,False,Chlorobium,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Christensenellaceae R-7 group,1,family,Christensenellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chroococcidiopsis PCC-6712,1,manual,Chroococcidiopsis,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Chryseobacterium,24,False,Chryseobacterium,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Chryseoglobus,4,False,Chryseoglobus,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chryseolinea,1,False,Chryseolinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chthonobacter,1,family,Pleomorphomonadaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Citrobacter,14,False,Citrobacter,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Clavibacter,8,False,Clavibacter,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Cloacibacterium,2,False,Cloacibacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clostridioides,1,False,Clostridioides,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clostridium,43,False,Clostridium,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Cognataquiflexum,11,family,Cyclobacteriaceae,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Collimonas,3,False,Collimonas,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Comamonas,12,False,Comamonas,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Conexibacter,1,False,Conexibacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Confluentibacter,199,family,Flavobacteriaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Corynebacterium,112,False,Corynebacterium,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Coxiella,15,family,Coxiellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croceibacterium,1,False,Croceibacterium,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Crocinitomix,2,family,Crocinitomicaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cryobacterium,1,False,Cryobacterium,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Cupriavidus,8,False,Cupriavidus,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Curtobacterium,3,False,Curtobacterium,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Curvibacter,56,family,Comamonadaceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Cutibacterium,4,False,Cutibacterium,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyanobium PCC-6307,4,family,Cyanobiaceae,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cyanomargarita,9,family,Nostocaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Cyanothece PCC 7425,3,family,Thermosynechococcaceae,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Cypionkella,69,family,Paracoccaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Cystobacter,7,family,Myxococcaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Cytophaga,1,False,Cytophaga,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DSSD61,7,family,Nitrosomonadaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
DSSF69,49,family,Sphingomonadaceae,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Dactylosporangium,4,False,Dactylosporangium,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Daejeonella,35,family,Sphingobacteriaceae,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Dankookia,33,family,Acetobacteraceae,0.0,1.0,0.0,1.0,0.0,1.0,1.0
Dechlorobacter,10,family,Rhodocyclaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Dechloromonas,1,False,Dechloromonas,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Deefgea,2,False,Deefgea,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Defluviicoccus,1,False,Defluviicoccus,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Defluviimonas,69,family,Paracoccaceae,1.0,1.0,0.0,1.0,0.0,1.0,1.0
Deinococcus,23,False,Deinococcus,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Delftia,3,False,Delftia,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Demequina,1,False,Demequina,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denitratisoma,1,False,Denitratisoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desertimonas,1,family,Ilumatobacteraceae,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Desulfobacca,1,False,Desulfobacca,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Desulfobacter,2,family,Desulfobacteraceae,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Desulfobacula,1,False,Desulfobacula,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Desulfobulbus,3,False,Desulfobulbus,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Desulfocapsa,1,False,Desulfocapsa,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Desulfocastanea,5,family,Desulfocapsaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Desulfomicrobium,2,False,Desulfomicrobium,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Desulfomonile,1,False,Desulfomonile,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Desulfoprunum,5,family,Desulfocapsaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Desulforhopalus,5,family,Desulfocapsaceae,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Desulfosporosinus,3,False,Desulfosporosinus,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Desulfovibrio,7,False,Desulfovibrio,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Desulfuromonas,3,False,Desulfuromonas,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Devosia,6,False,Devosia,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Dinghuibacter,32,family,Chitinophagaceae,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Diplosphaera,7,family,Opitutaceae,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Dokdonella,1,False,Dokdonella,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dongia,2,family,Dongiaceae,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Duganella,2,False,Duganella,0.0,0.0,0.0,0.0,0.0,1.0,0.0
